Regional Indicator,Ladder Score,GDP,Social Support,Life Expectancy,Freedom Make Life Choices,Generosity,Perceptions of Corruption,Dystopia Residual,Country,Density
America,5.764,9.313,0.821,68.8,0.842,-0.124,0.843,2.653,Ecuador,0.041946309
Oceana,5.744,8.538,0.893,64.401,0.935,0.119,0.908,2.648,Kyrgyzstan,0.026845638
Europe,5.723,10.279,0.823,72.6,0.582,-0.288,0.823,2.561,Greece,0.015100671
America,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,2.805,Bolivia,0.030201342
Asia,5.677,9.4,0.935,62.5,0.708,0.116,0.856,2.492,Mongolia,0.013422819
America,5.653,9.448,0.893,65.9,0.876,0.028,0.882,2.306,Paraguay,0.05033557
Europe,5.581,9.94,0.858,68.699,0.708,-0.034,0.812,2.254,Montenegro,0.046979866
America,5.545,9.802,0.853,66.102,0.86,-0.133,0.714,2.178,Dominican Republic,0.045302013
Europe,5.536,10.576,0.82,73.898,0.795,0.012,0.626,1.653,North Cyprus,0.013422819
Oceana,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,2.247,Belarus,0.055369128
Oceana,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,2.148,Russia,0.026845638
Asia,5.477,11,0.836,76.82,0.717,0.067,0.403,1.236,Hong Kong S.A.R. of China,0.005033557
Oceana,5.466,8.091,0.86,64.281,0.832,-0.056,0.553,2.619,Tajikistan,0.013422819
Asia,5.411,8.973,0.85,68.034,0.94,-0.098,0.796,2.211,Vietnam,0.043624161
Africa,5.41,9.622,0.827,62.3,0.771,-0.087,0.667,2.331,Libya,0.015100671
Asia,5.384,10.238,0.817,67.102,0.895,0.125,0.839,1.784,Malaysia,0.05704698
Asia,5.345,9.365,0.811,62.236,0.873,0.542,0.867,1.987,Indonesia,0.016778523
Africa,5.342,8.117,0.636,58.221,0.695,-0.068,0.745,3.476,Congo (Brazzaville),0.011744966
Asia,5.339,9.673,0.811,69.593,0.904,-0.146,0.755,1.982,China,0.031879195
Africa,5.306,8.551,0.644,50.114,0.741,-0.016,0.794,3.469,Ivory Coast,0.005033557
Oceana,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,2.127,Armenia,0.060402685
Asia,5.269,8.12,0.774,64.233,0.782,0.152,0.727,2.642,Nepal,0.011744966
Europe,5.266,10.016,0.931,67,0.788,-0.096,0.932,1.823,Bulgaria,0.05704698
Asia,5.198,9.826,0.913,70.6,0.854,0.024,0.825,1.52,Maldives,0.010067114
Oceana,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,1.919,Azerbaijan,0.041946309
Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,3.195,Cameroon,0.013422819
Africa,5.132,8.118,0.71,59.802,0.695,-0.046,0.801,3.071,Senegal,0.016778523
Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,2.25,Albania,0.023489933
Europe,5.101,9.693,0.805,65.474,0.751,0.038,0.905,2.042,North Macedonia,0.035234899
Africa,5.088,8.58,0.727,57.586,0.807,0.123,0.848,2.684,Ghana,0.016778523
Africa,5.074,7.098,0.641,53.78,0.806,0.018,0.693,3.47,Niger,0.011744966
Oceana,5.066,9.629,0.983,62.409,0.877,0.273,0.888,1.409,Turkmenistan,0.018456376
Africa,5.051,7.686,0.69,55.16,0.697,0.424,0.746,2.99,Gambia,0.018456376
Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,3.482,Benin,0.015100671
Asia,5.03,8.947,0.728,58.968,0.91,0.123,0.658,2.204,Laos,0.016778523
Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,2.427,Bangladesh,0.025167785
Africa,4.984,7.838,0.639,55.008,0.697,0.095,0.766,3.216,Guinea,0.018456376
Africa,4.956,9.403,0.86,56.904,0.749,-0.067,0.86,2.187,South Africa,0.011744966
Africa,4.948,10.24,0.822,67.199,0.576,-0.139,0.776,1.852,Turkey,0.040268456
Asia,4.934,8.458,0.651,58.709,0.726,0.098,0.787,2.784,Pakistan,0.018456376
Africa,4.918,8.903,0.56,66.208,0.774,-0.236,0.801,2.749,Morocco,0.033557047
America,4.892,9.073,0.861,66.7,0.615,-0.169,0.827,2.135,Venezuela,0.035234899
